Published_date,Bid_closing_date,Tender_opening_date,Title,Organisation,Value
09-Sep-2023 06:45 PM,16-Sep-2023 11:00 AM,18-Sep-2023 11:30 AM,"[Procurement of M/s Hach make Reagents for use in Silica and Phosphate Analyser of SWAS and Slica and Sodium Analyser of DM Plant of MTPS, U 7 and 8, DVC] [MT/OandM/QSF-05-06-/DBN (25) HQ CandM/712(A)][2023_DVC_167174_1]",Damodar Valley Corporation||MTPS Mejia - DVC||C and M,NA
09-Sep-2023 06:40 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:30 PM,"[Tender for Sale of Copper Concentrate of Malanjkhand Copper Project, Khetri Copper Complex and Indian Copper Complex Origin] [HCL/CO/MKTG/CONC/23-24/01 ][2023_HCL_167138_1]",Hindustan Copper Limited||Corporate Office - Kolkata||Marketing Department,NA
09-Sep-2023 06:10 PM,16-Sep-2023 05:30 PM,18-Sep-2023 03:30 PM,[Renewal of SAP Datacentre] [JPLCNMNIT23241200007758][2023_JPL_167168_1],Jhabua Power Ltd,NA
09-Sep-2023 06:00 PM,18-Sep-2023 06:00 PM,20-Sep-2023 11:00 AM,[Supply of 150W LED Floodlights ] [JPL/CnM/23-24/1100011846][2023_JPL_167164_1],Jhabua Power Ltd,NA
09-Sep-2023 06:00 PM,23-Sep-2023 06:00 PM,26-Sep-2023 11:00 AM,[Term contract for civil works at Zone A Administration area Boot plant Lab MM and Wet canteen inside factory at OEFC] [CW/TE/E-proc/07/OEF/EO/2023-24][2023_TCL_167155_1],TROOP COMFORTS LIMITED||Ordnance Equipment Factory - Kanpur UP,"15,00,000"
09-Sep-2023 06:00 PM,16-Sep-2023 05:30 PM,18-Sep-2023 11:00 AM,[Supervisory Services for EOT Crane ] [JPLCNMST23241200007760][2023_JPL_167186_1],Jhabua Power Ltd,NA
09-Sep-2023 06:00 PM,16-Sep-2023 05:30 PM,18-Sep-2023 11:30 AM,[Renewal of Trend Micro Renewal of Antivirus License Services ] [JPLCNMNIT23241200007759 ][2023_JPL_167162_1],Jhabua Power Ltd,NA
09-Sep-2023 06:00 PM,25-Sep-2023 03:00 PM,26-Sep-2023 03:00 PM,"[Repair and restoration works of HDPE lining, pre-cast concrete tiles of Reservoir slopes at IGSTPP, Jharli, Jhajjarat IGSTPP, Jharli, Jhajjar] [CRN-4025][2023_APCPL_167171_1]",Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL,NA
09-Sep-2023 06:00 PM,11-Oct-2023 03:30 PM,12-Oct-2023 03:30 PM,[NFVP/CICO/3394] [NFVP/CICO/3394][2023_NFL_167191_1],National Fertilizers Limited||NFL Unit- Vijaipur||Civil Deptt,"60,28,002"
09-Sep-2023 06:00 PM,16-Sep-2023 06:00 PM,18-Sep-2023 11:00 AM,[Supply of electrical consumable items ] [ JPL/CnM/23-24/1100011872 ][2023_JPL_167112_1],Jhabua Power Ltd,NA
09-Sep-2023 06:00 PM,16-Sep-2023 06:00 PM,18-Sep-2023 11:00 AM,[Supply of Slip ring assembly and spares for PCRD of BWSR ] [JPL/CnM/23-24/1100011897][2023_JPL_167118_1],Jhabua Power Ltd,NA
09-Sep-2023 05:30 PM,19-Sep-2023 05:00 PM,23-Sep-2023 12:30 PM,[All inclusive Maintenance Contract of 15 KVA and 30KVA DEA sets with AMF Panel at various BTS sites under ESD Jind] [EE/E/BSNL/ED/RTK/2023-24/38 ][2023_BSNL_167188_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||CE (Electrical),"12,19,076"
09-Sep-2023 05:00 PM,25-Sep-2023 12:00 PM,26-Sep-2023 12:00 PM,[DVC/TENDER/HQ/FUEL/00022] [DVC/TENDER/HQ/FUEL/00022][2023_DVC_167173_1],Damodar Valley Corporation||RTPS Raghunathpur - DVC||C and M,NA
09-Sep-2023 05:00 PM,30-Sep-2023 02:00 PM,03-Oct-2023 09:00 AM,[supply of Full flexible geared coupling] [RCF/MM/176 (23)][2023_CCI_167187_1],Cement Corporation of India Limted||Rajban Cement Factory - CCI,NA
09-Sep-2023 05:00 PM,23-Sep-2023 03:00 PM,25-Sep-2023 03:30 PM,"[ Internal shifting of 20000 MT plus or minus 10 percentage of clinker from near clinker silo area to Wagon Tippler area or Gypsum Stock pile or shifting the clinker from Wagon Tippler area/gypsum stock pile to near clinker silo] [TDO/PROD/CLINKER SHIFTING/20,000 MT/23-24][2023_CCI_167189_1]",Cement Corporation of India Limted||Tandur Cement Factory - CCI,NA
09-Sep-2023 05:00 PM,06-Oct-2023 03:00 PM,09-Oct-2023 03:00 PM,"[Term Contract (T.C) for civil maintenance works in Plant Area at OFN, Rajgir] [OFN/EO/CIVIL/23-24/RD2302][2023_MIL_167157_1]",Munitions India Limited||Ordnance Factory Nalanda Rajgir Bihar,"15,00,000"
09-Sep-2023 05:00 PM,19-Sep-2023 05:00 PM,23-Sep-2023 12:30 PM,[All inclusive Maintenance Contract of DEA Sets with AMF Panel at various TEX/ BTS sites under OA Sonipat] [EE/E/BSNL/ED/RTK/2023-24/39][2023_BSNL_167182_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Haryana Telecom Circle||CE (Electrical),"14,00,667"
09-Sep-2023 04:20 PM,15-Sep-2023 03:00 PM,16-Sep-2023 03:30 PM,[ADYAR MTCE WORK] [07/BSNL/CD-MMN/CH/2023-24][2023_BSNL_167183_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Chennai Telephones District||SE Civil,"2,75,970"
09-Sep-2023 04:00 PM,28-Sep-2023 02:00 PM,29-Sep-2023 02:30 PM,[AMC FOR SERVICE/MAINTENANCE OF GAS DETECTOR AT GAIL DURGAPUR FOR 2 YEARS] [GAIL/RNC/C and P/2023/SN-120][2023_GAIL_167052_1],GAIL (India) Limited||GAIL India Limited- Ranchi,NA
